"","SampleName","Seq_laneID","plantline","time_point","BioRep"
"1","0w_abi1_1_L6","L6","abi1","0w","0w_abi1_1"
"2","0w_abi1_2_L6","L6","abi1","0w","0w_abi1_2"
"3","0w_abi1_3_L6","L6","abi1","0w","0w_abi1_3"
"4","0w_t89_1_L6","L6","t89","0w","0w_t89_1"
"5","0w_t89_2_L6","L6","t89","0w","0w_t89_2"
"6","0w_t89_2_L8","L8","t89","0w","0w_t89_2"
"7","0w_t89_3_L6","L6","t89","0w","0w_t89_3"
"8","10w_abi1_1_L8","L8","abi1","10w","10w_abi1_1"
"9","10w_abi1_2_L8","L8","abi1","10w","10w_abi1_2"
"10","10w_abi1_3_L8","L8","abi1","10w","10w_abi1_3"
"11","10w_t89_1_L7","L7","t89","10w","10w_t89_1"
"12","10w_t89_1_L8","L8","t89","10w","10w_t89_1"
"13","10w_t89_2_L8","L8","t89","10w","10w_t89_2"
"14","10w_t89_3_L8","L8","t89","10w","10w_t89_3"
"15","6w_abi1_1_L7","L7","abi1","6w","6w_abi1_1"
"16","6w_abi1_2_L7","L7","abi1","6w","6w_abi1_2"
"17","6w_abi1_3_L7","L7","abi1","6w","6w_abi1_3"
"18","6w_t89_1_L7","L7","t89","6w","6w_t89_1"
"19","6w_t89_2_L7","L7","t89","6w","6w_t89_2"
"20","6w_t89_3_L7","L7","t89","6w","6w_t89_3"
